_r ( arcsec ),MAIN_ID,OTYPE,RA ( "h:m:s" ),DEC ( "d:m:s" ),COO_ERR_MAJA ( mas ),COO_ERR_MINA ( mas ),COO_ERR_ANGLE ( deg ),PMRA ( mas.yr-1 ),PMDEC ( mas.yr-1 ),B ( mag ),V ( mag ),R ( mag ),J ( mag ),H ( mag ),K ( mag ),SP_TYPE,GALDIM_MAJAXIS ( arcmin ),GALDIM_MINAXIS ( arcmin ),GALDIM_ANGLE ( deg ),BIBLIST,RAdeg ( deg ),DEdeg ( deg )
2.8182,Cl* NGC  104    MAM M56964,BlueStraggler,00 24 05.81,-72 04 51.3,,,,,,15.9,15.61,,,,,,,,,2,6.024208,-72.080917
2.92,SWIFT J002405.8-720455,Transient,00 24 05.82,-72 04 55.2,,,,,,,,,,,,,,,,1,6.02425,-72.082
2.9836,CXOGlb J002404.9-720455,CataclyV*,00 24 04.913,-72 04 55.36,20,14,100,,,,17.391,,,,,,,,,33,6.020471,-72.082044
3.1001,Cl* NGC  104    DSZ       7,BlueStraggler,00 24 04.71,-72 04 52.4,,,,,,16.39,15.96,,,,,,,,,2,6.019625,-72.081222
3.3708,PSR J0023-72O,Pulsar,00 24 04.637,-72 04 53.71,,,,5.01,-2.58,,,,,,,,,,,50,6.019321,-72.081586
3.4615,1E 002151-7221.5,X,00 24 05.8,-72 04 56,,,,,,,,,,,,,,,,9,6.024167,-72.082222
3.5841,[KDA2008] 42,UV,00 24 05.982,-72 04 55.34,,,,,,,,,,,,,,,,1,6.024925,-72.082039
3.7748,[KDA2008] 24,UV,00 24 06.122,-72 04 51.84,,,,,,,,,,,,,,,,1,6.025508,-72.081067
3.8781,CXOGlb J002405.4-720457,V*,00 24 05.440,-72 04 57.06,250,250,90,,,,21.143,,,,,,,,,4,6.022667,-72.082517
3.9248,Cl* NGC  104    EGG V22,BYDra,00 24 04.7693,-72 04 56.028,,,,,,,17.839,,,,,,,,,1,6.019872,-72.08223
4.0031,CXOGlb J002406.1-720451,X,00 24 06.137,-72 04 51.43,250,250,90,,,,,,,,,,,,,1,6.025571,-72.080953
4.0982,Cl* NGC  104    MAM M58539,CataclyV*,00 24 06.2184,-72 04 52.168,,,,,,17.76,17.71,,,,,,,,,9,6.02591,-72.081158
4.1051,[GHE2001] W32,CataclyV*,00 24 05.716,-72 04 49.44,,,,,,14.253,12.777,,11.113,,10.368,,,,,7,6.023817,-72.0804
4.2555,Cl* NGC  104    MAM M54898,CataclyV*,00 24 06.013,-72 04 56.20,,,,,,,20.411,,,,,,,,,32,6.025054,-72.082278
4.3505,Cl* NGC  104    AKO       8,Star,00 24 04.9,-72 04 57,,,,,,15.62,14.48,,,,,,,,,2,6.020417,-72.0825
4.413,[KDA2008] 7,**,00 24 05.794,-72 04 57.13,,,,,,,,,,,,,,,,1,6.024142,-72.082536
4.4971,Cl* NGC  104    EGG V46,Star,00 24 05.7776,-72 04 49.139,,,,,,,17.785,,,,,,,,,2,6.024073,-72.080316
4.6371,Cl* NGC  104    EGG V38,BYDra,00 24 05.9036,-72 04 57.097,,,,,,,19.285,,,,,,,,,1,6.024598,-72.082527
4.9192,Cl* NGC  104    MAM    bet,Star,00 24 04.61,-72 04 49.7,,,,,,,,,,,,,,,,1,6.019208,-72.080472
4.955,Cl* NGC  104    EGG V23,BYDra,00 24 06.429,-72 04 52.79,,,,,,,16.985,,,,,,,,,7,6.026788,-72.081331
4.9565,Cl* NGC  104    DPF    1757,Star,00 24 06.168,-72 04 49.94,,,,,,,,,,,,,,,,4,6.0257,-72.080539
4.9699,[KDA2008] 85,UV,00 24 06.341,-72 04 51.16,,,,,,,,,,,,,,,,1,6.026421,-72.080878
5.0935,Cl* NGC  104    MAM M61787,Star,00 24 05.964,-72 04 48.94,,,,,,,,,,,,,,,,1,6.02485,-72.080261
5.1681,Cl* NGC  104    AKO       7,Star,00 24 04.6,-72 04 57,,,,,,15.05,14.08,,,,,,,,,2,6.019167,-72.0825
5.2054,[CPF2015] COM-47TucW,Candidate_WD*,00 24 06.0630,-72 04 49.133,,,,,,,,,,,,,,,,1,6.025263,-72.080315
5.2111,Cl* NGC  104    DPF    2064,Star,00 24 06.488,-72 04 53.11,,,,,,,,,,,,,,,,4,6.027033,-72.081419
5.2264,PSR B0021-72W,Pulsar,00 24 06.0580,-72 04 49.088,,,,6.1,-2.6,,,,,,,,,,,68,6.025242,-72.080302
5.3683,CXOGlb J002406.0-720449,Pulsar,00 24 06.064,-72 04 48.93,,,,,,,22.3,,,,,,,,,11,6.025267,-72.080258
5.4461,[KDA2008] 31,Candidate_WD*,00 24 04.246,-72 04 51.39,,,,,,,,,,,,,,,,1,6.017692,-72.080942
5.4576,Cl* NGC  104    EGG V14,BlueStraggler,00 24 05,-72 04.8,,,,,,16.797,16.456,,,,,,,,,5,6.020833,-72.08
5.4576,Cl* NGC  104    EGG V15,pulsV*SX,00 24 05,-72 04.8,,,,,,15.42,15.28,,,,,,,,,6,6.020833,-72.08
5.4576,Cl* NGC  104    EGG V16,pulsV*SX,00 24 05,-72 04.8,,,,,,16.01,15.76,,,,,,,,,6,6.020833,-72.08
5.5116,CXOGlb J002406.5-720451,X,00 24 06.454,-72 04 51.00,250,250,90,,,,,,,,,,,,,1,6.026892,-72.080833
5.556,Cl* NGC  104    DPF    1951,Star,00 24 06.520,-72 04 51.73,,,,,,16.3,15.6,,,,,,,,,4,6.027167,-72.081036
5.8358,[KDA2008] 18,Candidate_WD*,00 24 05.266,-72 04 59.02,,,,,,,,,,,,,,,,1,6.021942,-72.083061
5.9078,Cl* NGC  104    DPF    1929,Star,00 24 06.581,-72 04 51.44,,,,,,,,,,,,,,,,4,6.027421,-72.080956
5.9246,[KDA2008] 33,UV,00 24 05.986,-72 04 58.37,,,,,,,,,,,,,,,,1,6.024942,-72.082881
5.9883,CXOGlb J002406.6-720453,X,00 24 06.656,-72 04 53.38,250,250,90,,,,,,,,,,,,,1,6.027733,-72.081494
6.0495,Cl* NGC  104    DPF    1582,Star,00 24 06.064,-72 04 48.10,,,,,,16,,,,,,,,,,4,6.025267,-72.080028
6.0657,Cl* NGC  104    MAM M60466,Star,00 24 06.511,-72 04 50.28,,,,,,,,,,,,,,,,1,6.027129,-72.080633
6.1062,Cl* NGC  104    EGG V20,WD*,00 24 06.353,-72 04 49.17,,,,,,,22.805,,,,,D,,,,2,6.026471,-72.080325
6.14,[KDA2008] 67,UV,00 24 04.096,-72 04 51.27,,,,,,,,,,,,,,,,1,6.017067,-72.080908
6.1691,Cl* NGC  104    EGG V25,BYDra,00 24 06.5582,-72 04 55.926,,,,,,,20.849,,,,,,,,,1,6.027326,-72.082202
6.2203,Cl* NGC  104    MAM    alf,Star,00 24 04.69,-72 04 58.6,,,,,,,,,,,,,,,,1,6.019542,-72.082944
6.253,[KDA2008] 47,UV,00 24 04.623,-72 04 47.95,,,,,,,,,,,,,,,,1,6.019263,-72.079986
6.2536,Cl* NGC  104    MAM M56966,BlueStraggler,00 24 06.65,-72 04 51.3,,,,,,16.04,15.78,,,,,,,,,3,6.027708,-72.080917
6.2657,Cl* NGC  104    DPF    1581,Star,00 24 06.126,-72 04 48.03,,,,,,,,,,,,,,,,4,6.025525,-72.080008
6.3151,Cl* NGC  104    EGG V37,BYDra,00 24 04.2535,-72 04 56.922,,,,,,,19.283,,,,,,,,,1,6.017723,-72.082478
6.443,Cl* NGC  104    DPF    1596,Star,00 24 04.108,-72 04 50.34,,,,,,,,,,,,,,,,4,6.017117,-72.08065
6.6429,CXOGlb J002405.2-720446,CataclyV*,00 24 05.216,-72 04 46.59,,,,,,,22.3,,,,,,,,,11,6.021733,-72.079608
6.6774,[DWS97] Tuc 1,CataclyV*,00 24 04.29,-72 04 57.7,,,,,,,,,,,,,,,,4,6.017875,-72.082694
6.7634,Cl* NGC  104    MAM M59651,Star,00 24 03.984,-72 04 50.86,,,,,,14.17,12.613,,10.87,,10.16,,,,,3,6.0166,-72.080794
6.8019,[KDA2008] 78,UV,00 24 04.374,-72 04 58.26,,,,,,,,,,,,,,,,1,6.018225,-72.08285
6.8581,Cl* NGC  104    DPF    1758,pulsV*SX,00 24 06.606,-72 04 49.47,,,,,,16.25,15.93,,,,,,,,,12,6.027525,-72.080408
6.8825,Cl* NGC  104    MAM M57483,Star,00 24 06.850,-72 04 53.35,,,,,,,,,,,,,,,,1,6.028542,-72.081486
6.8829,Cl* NGC  104    DPF    2588,Star,00 24 06.020,-72 04 59.37,,,,,,15.9,15,,,,,,,,,5,6.025083,-72.083158
6.9324,Cl* NGC  104    DSZ       4,BlueStraggler,00 24 06.68,-72 04 49.9,,,,,,17.07,16.64,,,,,,,,,1,6.027833,-72.080528
6.9523,RX J0021.8-7221,CataclyV*,00 24 04.263,-72 04 57.97,,,,,,,19.772,,,,,,,,,55,6.017763,-72.082769
7.2252,Cl* NGC  104    EGG V28,BYDra,00 24 04.6105,-72 04 59.546,,,,,,,20.135,,,,,,,,,2,6.01921,-72.083207
7.3204,CXOGlb J002404.8-720446,XB,00 24 04.902,-72 04 46.19,,,,,,,,,,,,,,,,4,6.020425,-72.079497
7.6035,Cl* NGC  104    EGG V39,BYDra,00 24 04.9713,-72 05 00.590,,,,,,,18.435,,,,,,,,,1,6.020714,-72.083497
7.7068,Cl* NGC  104    FDP    2712,Star,00 24 04.07,-72 04 58.1,,,,,,,,,,,,,,,,1,6.016958,-72.082806
7.7634,[MSS2012] 37,Star,00 24 04.62192,-72 04 46.2216,90,80,5,,,13.622,10.914,,9.688,8.986,8.807,,,,,2,6.019258,-72.079506
7.8807,Cl* NGC  104    EGG V31,BYDra,00 24 06.79,-72 04 48.9,,,,,,,19.334,,,,,,,,,2,6.028292,-72.08025
7.8876,[LML2014] 100148,AGB*,00 24 06.8014,-72 04 48.969,,,,,,,,,,,,,,,,1,6.028339,-72.080269
7.9058,2MASS J00240697-7204506,IR<10um,00 24 06.97992,-72 04 50.6424,110,100,92,,,,,,10.697,10.183,10.21,,,,,1,6.029083,-72.080734
8.0309,Cl* NGC  104    DSZ       2,V*?,00 24 06.77,-72 04 48.5,,,,,,17.96,17.36,,,,,,,,,1,6.028208,-72.080139
8.1118,Cl* NGC  104    DPF    2646,Star,00 24 04.960,-72 05 01.10,,,,,,,,,,,,,,,,4,6.020667,-72.083639
8.2662,PSR J0024-72L,Pulsar,00 24 03.754,-72 04 56.87,30,23,0,4.4,-2.4,,,,,,,,,,,36,6.015642,-72.082464
8.3739,CXOGlb J002407.1-720452,BYDra,00 24 07.171,-72 04 52.76,70,46,0,,,,20.382,,,,,,,,,2,6.029879,-72.081322
8.4013,Cl* NGC  104    EGG V52,CataclyV*,00 24 06.26,-72 04 45.9,,,,,,,18.514,,,,,,,,,3,6.026083,-72.079417
8.41,Cl* NGC  104    DPF    1286,V*,00 24 05.921,-72 04 45.20,100,100,90,,,,16.076,,,,,,,,,8,6.024671,-72.079222
8.5002,[LML2014] 100110,AGB*,00 24 05.0885,-72 04 44.792,,,,,,,,,,,,,,,,1,6.021202,-72.079109
8.6859,CXOGlb J002406.0-720501,X,00 24 05.998,-72 05 01.37,56,50,90,,,,,,,,,,,,,6,6.024992,-72.083714
8.6955,[KDA2008] 30,Candidate_WD*,00 24 07.024,-72 04 49.13,,,,,,,,,,,,,,,,1,6.029267,-72.080314
8.6987,CXOGlb J002403.4-720451,LMXB,00 24 03.494,-72 04 51.94,10,5,0,,,,,,,,,,,,,57,6.014558,-72.081094
8.7444,Cl* NGC  104    MAM    del,Star,00 24 07.23008,-72 04 54.5794,0.232,0.148,90,,,14.146,12.59,,10.723,,9.883,,,,,2,6.030125,-72.081828
8.8416,PSR J0024-7205Z,Pulsar,00 24 06.0390,-72 05 01.466,,,,,,,,,,,,,,,,1,6.025163,-72.083741
8.8468,Cl* NGC  104    EGG V26,BYDra,00 24 06.4777,-72 04 46.016,,,,,,,17.653,,,,,,,,,1,6.02699,-72.079449
8.8788,[KDA2008] 37,UV,00 24 05.234,-72 05 02.06,,,,,,,,,,,,,,,,1,6.021808,-72.083906
8.8941,[MSS2012] 15,LPV*,00 24 06.269,-72 04 45.36,100,100,90,,,13.429,10.622,,,,,,,,,2,6.026121,-72.079267
8.9407,Cl* NGC  104    DPF    1166,Star,00 24 05.649,-72 04 44.36,,,,,,16.7,16.4,,,,,,,,,4,6.023538,-72.078989
8.9537,Cl* NGC  104    DPF    2772,Star,00 24 05.717,-72 05 02.00,,,,,,,,,,,,,,,,4,6.023821,-72.083889
8.9965,[KDA2008] 5,WD*,00 24 05.557,-72 05 02.15,,,,,,,,,,,,D,,,,2,6.023154,-72.083931
9.0113,CXOGlb J002407.2-720454,X,00 24 07.281,-72 04 54.79,79,70,90,,,,,,,,,,,,,1,6.030338,-72.081886
9.3755,Cl* NGC  104    DSZ       1,V*?,00 24 06.78,-72 04 46.5,,,,,,17.77,17.38,,,,,,,,,1,6.02825,-72.079583
9.3978,Cl* NGC  104    EGG V19,EB*,00 24 04.345,-72 05 01.35,,,,,,,20.137,,,,,,,,,6,6.018104,-72.083708
9.5314,[KDA2008] 38,Candidate_WD*,00 24 07.375,-72 04 51.13,,,,,,,,,,,,,,,,1,6.030729,-72.080869
9.5724,Cl* NGC  104    EGG V24,BYDra,00 24 07.224,-72 04 57.39,,,,,,,17.363,,,,,,,,,6,6.0301,-72.082608
9.5972,[KDA2008] 82,UV,00 24 06.800,-72 05 00.12,,,,,,,,,,,,,,,,1,6.028333,-72.083367
9.612,CXOGlb J002403.6-720459,CataclyV*,00 24 03.703,-72 04 59.03,,,,,,,,,,,,,,,,7,6.015429,-72.083064
9.6716,CXOGlb J002405.1-720502,Candidate_XB*,00 24 05.056,-72 05 02.77,,,,,,,,,,,,,,,,6,6.021067,-72.084103
9.6903,[MSS2012] 61,Star,00 24 05.814,-72 04 43.74,,,,,,14.071,12.435,,10.488,,9.612,,,,,1,6.024225,-72.078817
9.7372,[GHE2001] W202,X,00 24 05.006,-72 04 43.60,65,60,89,,,,,,,,,,,,,2,6.020858,-72.078778
9.9445,[MSS2012] 80,Star,00 24 05.685,-72 04 43.37,,,,,,14.462,12.919,,11.059,,10.239,,,,,1,6.023688,-72.078714
10.0506,CXOGlb J002407.3-720449,X,00 24 07.376,-72 04 49.41,,,,,,,,,,,,,,,,7,6.030733,-72.080392
10.1719,Cl* NGC  104    DPF    2850,BlueStraggler,00 24 05.774,-72 05 03.19,,,,,,,,,,,,,,,,7,6.024058,-72.084219
10.4258,2MASS J00240317-7204507,LPV*,00 24 03.16738,-72 04 50.6711,0.035,0.03,90,4.353,-1.747,13.475,11.465,,8.377,7.56,7.352,,,,,6,6.013197,-72.080742
10.4262,[KDA2008] 26,UV,00 24 07.456,-72 04 57.08,,,,,,,,,,,,,,,,1,6.031067,-72.082522
10.5046,CXOGlb J002407.6-720450,Pulsar,00 24 07.551,-72 04 50.37,250,250,90,,,,,,,,,,,,,1,6.031463,-72.080658
10.5673,[FBS2016] NGC104 EM1,LPV*,00 24 03.10462,-72 04 55.0519,1.304,1.098,90,,,13.479,11.511,,,,,,,,,2,6.012936,-72.081959
10.6236,Cl* NGC  104    EGG V33,BYDra,00 24 06.6562,-72 04 44.424,,,,,,,19.075,,,,,,,,,1,6.027734,-72.079007
10.6326,[KDA2008] 13,Candidate_WD*,00 24 04.890,-72 05 03.61,,,,,,,,,,,,,,,,1,6.020375,-72.084336
10.656,[LML2014] 100125,AGB*,00 24 05.5038,-72 05 03.835,,,,,,,,,,,,,,,,1,6.022933,-72.084399
10.6888,[MSS2012] 95,Star,00 24 05.954,-72 04 42.87,,,,,,14.345,12.801,,10.929,,10.121,,,,,1,6.024808,-72.078575
10.6952,Cl* NGC  104    EGG V43,BYDra,00 24 06.5748,-72 04 44.095,,,,,,,18.933,,,,,,,,,1,6.027395,-72.078915
10.7526,[KDA2008] 36,UV,00 24 04.171,-72 05 02.45,,,,,,,,,,,,,,,,1,6.017379,-72.084014
10.8623,[FBS2016] NGC104 EM4,LPV*,00 24 07.203,-72 04 46.45,100,100,90,,,,,,,,,,,,,1,6.030013,-72.079569
10.8926,Cl* NGC  104    FDP    3086,Star,00 24 06.643,-72 05 02.34,,,,,,,,,,,,,,,,2,6.027679,-72.083983
10.8943,CXOGlb J002404.2-720443,XB,00 24 04.276,-72 04 43.52,,,,,,,,,,,,,,,,4,6.017817,-72.078756
11.0246,CXOGlb J002407.2-720446,X,00 24 07.246,-72 04 46.44,60,60,90,,,,,,,,,,,,,2,6.030192,-72.079567
11.0324,[KDA2008] 84,UV,00 24 07.678,-72 04 55.88,,,,,,,,,,,,,,,,1,6.031992,-72.082189
11.056,[MSS2012] 75,Star,00 24 03.401,-72 04 46.83,,,,,,14.175,12.691,,10.692,,9.861,,,,,1,6.014171,-72.079675
11.078,2MASS J00240544-7204421,IR<10um,00 24 05.44056,-72 04 42.1284,120,110,17,,,,,,,,8.765,,,,,1,6.022669,-72.078369
11.1933,[MSS2012] 27,Star,00 24 03.781,-72 04 44.70,,,,,,13.627,11.74,,9.441,,8.51,,,,,1,6.015754,-72.079083
11.22,[HJV94]  8,X,00 24 04.7,-72 05 04,,,,,,,,,,,,,,,,5,6.019583,-72.084444
11.2962,CXOGlb J002406.3-720443,CataclyV*,00 24 06.397,-72 04 42.97,,,,,,,,,,,,,,,,26,6.026654,-72.078603
11.3909,[KDA2008] 2,SB,00 24 06.541,-72 05 03.20,,,,,,,,,,,,,,,,2,6.027254,-72.084222
11.3961,CXOGlb J002405.6-720504,CataclyV*,00 24 05.662,-72 05 04.51,,,,,,,,,,,,,,,,8,6.023592,-72.084586
11.5154,CXOGlb J002406.1-720504,X,00 24 06.151,-72 05 04.12,90,79,0,,,,,,,,,,,,,1,6.025629,-72.084478
11.5402,[MSS2012] 52,Star,00 24 05.345,-72 04 41.66,,,,,,13.829,12.108,,,,,,,,,1,6.022271,-72.078239
11.5437,Cl* NGC  104     WD       9,Star,00 24 03.97,-72 04 43.6,,,,,,,,,,,,,,,,1,6.016542,-72.078778
11.7707,[KDA2008] 46,UV,00 24 07.228,-72 05 01.21,,,,,,,,,,,,,,,,1,6.030117,-72.083669
11.9383,CXOGlb J002407.9-720454,CataclyV*,00 24 07.924,-72 04 54.75,,,,,,,,,,,,,,,,6,6.033017,-72.081875
12.0575,CXOGlb J002403.1-720447,CataclyV*,00 24 03.083,-72 04 47.28,,,,,,,,,,,,,,,,7,6.012846,-72.0798
12.2288,Cl* NGC  104    DPF    2128,Star,00 24 07.999,-72 04 52.15,,,,,,16.1,16.2,,,,,,,,,12,6.033329,-72.081153
12.3729,Cl* NGC  104    DPF    1030,Star,00 24 06.489,-72 04 41.98,,,,,,,,,,,,,,,,5,6.027038,-72.078328
12.4344,[GHE2001] W197,X,00 24 08.021,-72 04 51.28,74,70,89,,,,,,,,,,,,,1,6.033421,-72.080911
12.4573,Cl* NGC  104    EGG V4,EB*,00 24 07.812,-72 04 58.40,80,65,112,,,,17.523,,,,,,,,,6,6.03255,-72.082889
12.4844,Cl* NGC  104    MAM M47149,Star,00 24 06.563,-72 05 04.38,,,,,,,,,,,,,,,,1,6.027346,-72.08455
12.49,[KDA2008] 29,Candidate_WD*,00 24 07.933,-72 04 57.06,,,,,,,,,,,,,,,,1,6.033054,-72.082517
12.4952,CXOGlb J002402.8-720449,CataclyV*,00 24 02.806,-72 04 49.04,,,,,,,,,,,,,,,,8,6.011692,-72.080289
12.5303,[MSS2012] 76,Star,00 24 02.85032,-72 04 57.9936,5.317,3.081,90,,,14.108,12.445,,10.349,,9.481,,,,,1,6.011876,-72.082776
12.5558,[CPF2015] COM-47TucS,Candidate_WD*,00 24 03.9770,-72 04 42.385,,,,,,23.77,,,,,,,,,,2,6.016571,-72.07844
12.5908,PSR J0023-72S,Pulsar,00 24 03.9779,-72 04 42.342,,,,4.5,-2.5,,,,,,,,,,,28,6.016575,-72.078428
12.6508,PSR J0024-72F,Pulsar,00 24 03.907,-72 04 42.47,32,30,90,4.52,-250,,,,,,,,,,,45,6.016279,-72.078464
12.7829,[KDA2008] 66,UV,00 24 04.299,-72 05 05.01,,,,,,,,,,,,,,,,1,6.017913,-72.084725
12.8399,[KDA2008] 81,UV,00 24 06.308,-72 05 05.27,,,,,,,,,,,,,,,,1,6.026283,-72.084797
12.8405,Cl* NGC  104    EGG V35,BYDra,00 24 06.7297,-72 04 42.026,,,,,,,17.695,,,,,,,,,1,6.02804,-72.078341
12.8954,[MSS2012] 82,Star,00 24 04.257,-72 04 41.35,,,,,,14.206,12.676,,,,,,,,,1,6.017738,-72.078153
13.0136,CXOGlb J002404.9-720506,CataclyV*,00 24 04.956,-72 05 06.08,100,79,0,,,,,,,,,,,,,6,6.02065,-72.085022
13.1264,[GHE2001] W201,X,00 24 07.060,-72 04 42.68,60,46,0,,,,,,,,,,,,,1,6.029417,-72.078522
13.2513,[KDA2008] 73,UV,00 24 08.222,-72 04 52.19,,,,,,,,,,,,,,,,1,6.034258,-72.081164
13.3011,[KDA2008] 79,UV,00 24 08.240,-72 04 53.58,,,,,,,,,,,,,,,,1,6.034333,-72.08155
13.5051,[KDA2008] 32,UV,00 24 03.646,-72 05 04.15,,,,,,,,,,,,,,,,1,6.015192,-72.084486
13.736,CXOGlb J002408.1-720447,X,00 24 08.103,-72 04 47.88,90,51,93,,,,,,,,,,,,,2,6.033763,-72.079967
13.9289,[KDA2008] 49,UV,00 24 06.085,-72 05 06.72,,,,,,,,,,,,,,,,1,6.025354,-72.0852
13.9541,[FBS2016] NGC104 EM3,LPV*,00 24 08.33238,-72 04 50.6670,0.142,0.141,90,5.994,-3.041,13.493,11.503,,,,,,,,,2,6.034718,-72.080741
13.9637,Cl* NGC  104    FDP    2675,Star,00 24 02.376,-72 04 55.54,,,,,,,,,,,,,,,,3,6.0099,-72.082094
14.1734,CXOGlb J002404.4-720439,X,00 24 04.397,-72 04 39.74,120,88,0,,,,,,,,,,,,,1,6.018321,-72.077706
14.252,[GHE2001] W302,X,00 24 03.036,-72 04 43.81,250,250,90,,,,,,,,,,,,,2,6.01265,-72.078836
14.3335,CXOGlb J002403.5-720441,X,00 24 03.565,-72 04 41.50,,,,,,,,,,,,,,,,3,6.014854,-72.078194
14.4245,Cl* NGC  104    DPF    2732,Star,00 24 08.245,-72 04 58.74,,,,,,16.6,16.6,,,,,,,,,4,6.034354,-72.082983
14.4251,Cl* NGC  104    EGG V18,EB*,00 24 07.337,-72 05 04.37,90,88,0,,,,17.596,,,,,,,,,2,6.030571,-72.084547
14.5446,[KDA2008] 6,UV,00 24 08.459,-72 04 50.58,,,,,,,,,,,,,,,,1,6.035246,-72.080717
14.6054,Cl* NGC  104    FDP    2835,EB*,00 24 07.885,-72 05 02.00,100,100,90,,,,16.761,,,,,,,,,9,6.032854,-72.083889
14.6856,CXOGlb J002402.1-720450,CataclyV*,00 24 02.226,-72 04 50.63,,,,,,,,,,,,,,,,7,6.009275,-72.080731
14.8482,Cl* NGC  104    EGG V8,EB*,00 24 03.464,-72 05 05.20,,,,,,,18.383,,,,,,,,,10,6.014433,-72.084778
14.9474,Cl* NGC  104    MAM M44437,Star,00 24 06.390,-72 05 07.37,,,,,,,,,,,,,,,,1,6.026625,-72.085381
14.9502,CXOGlb J002408.5-720456,X,00 24 08.530,-72 04 56.26,120,70,0,,,,,,,,,,,,,1,6.035542,-72.082294
14.9509,CXOGlb J002406.3-720439,X,00 24 06.346,-72 04 38.96,80,60,0,,,,,,,,,,,,,1,6.026442,-72.077489
15.0766,[LML2014] 100154,AGB*,00 24 04.1256,-72 05 07.161,,,,,,,,,,,,,,,,1,6.01719,-72.085323
15.4599,[MSS2012] 30,LPV*,00 24 02.733,-72 05 02.80,100,100,90,,,13.648,11.774,,,,,,,,,2,6.011388,-72.084111
15.5464,Cl* NGC  104    DPF    1206,Star,00 24 07.784,-72 04 42.41,,,,,,,,,,,,,,,,4,6.032433,-72.078447
15.6083,[MSS2012] 85,Star,00 24 05.675,-72 04 37.66,,,,,,14.29,12.753,,10.841,,10.002,,,,,1,6.023646,-72.077128
15.6092,2MASS J00240279-7205033,IR<10um,00 24 02.79600,-72 05 03.3864,80,70,0,,,,,,8.263,7.077,7.001,,,,,1,6.01165,-72.084274
15.652,[KDA2008] 59,UV,00 24 07.383,-72 05 05.76,,,,,,,,,,,,,,,,1,6.030763,-72.084933
15.7526,CXOGlb J002408.6-720449,X,00 24 08.672,-72 04 49.41,74,60,90,,,,,,,,,,,,,1,6.036133,-72.080392
15.8658,CXOGlb J002402.5-720444,X,00 24 02.522,-72 04 44.24,,,,,,,,,,,,,,,,4,6.010508,-72.078956
15.9578,[MSS2012] 92,Star,00 24 06.412,-72 05 08.40,,,,,,14.293,12.797,,10.971,,10.2,,,,,1,6.026717,-72.085667
16.0855,CXOGlb J002407.1-720507,X,00 24 07.150,-72 05 07.00,56,50,90,,,,,,,,,,,,,2,6.029792,-72.085278
16.0931,Cl* NGC  104    EGG V27,BYDra,00 24 08.496,-72 05 00.23,,,,,,,18.121,,,,,,,,,12,6.0354,-72.083397
