_r ( arcsec ),MAIN_ID,OTYPE,RA ( "h:m:s" ),DEC ( "d:m:s" ),COO_ERR_MAJA ( mas ),COO_ERR_MINA ( mas ),COO_ERR_ANGLE ( deg ),PMRA ( mas.yr-1 ),PMDEC ( mas.yr-1 ),B ( mag ),V ( mag ),R ( mag ),J ( mag ),H ( mag ),K ( mag ),SP_TYPE,GALDIM_MAJAXIS ( arcmin ),GALDIM_MINAXIS ( arcmin ),GALDIM_ANGLE ( deg ),BIBLIST,RAdeg ( deg ),DEdeg ( deg )
0,PSR J0024-7204V,Pulsar,00 24 05.359,-72 04 53.20,,,,4.9,-2.7,,,,,,,,,,,13,6.022329,-72.081444
0,NGC   104,GlCl,00 24 05.359,-72 04 53.20,,,,5.25,-2.53,5.78,4.09,,2.289,1.756,1.543,,43.8,43.8,0,3629,6.022329,-72.081444
1.3069,Cl* NGC  104   GYSB     263,Star,00 24 05.33,-72 04 54.5,,,,,,,11.97,,,,,,,,,4,6.022208,-72.081806
1.3093,Cl* NGC  104    EGG V40,BYDra,00 24 05.6368,-72 04 53.466,,,,,,,18.569,,,,,,,,,1,6.023487,-72.081518
1.3605,Cl* NGC  104    DPF    1997,V*,00 24 05.653,-72 04 53.10,,,,,,,15.73,,,,,,,,,5,6.023554,-72.081417
1.4752,2MASS J00240514-7204542,LPV*,00 24 05.146,-72 04 54.30,70,60,5,,,13.431,11.54,,9.342,8.333,8.418,,,,,2,6.021442,-72.08175
1.548,PSR J0024-7204R,Pulsar,00 24 05.670,-72 04 52.62,,,,4.8,-3.3,,,,,,,,,,,36,6.023625,-72.081283
1.6548,CXOGlb J002405.6-720452,BYDra,00 24 05.694,-72 04 52.61,70,56,0,,,,18.858,,,,,,,,,2,6.023725,-72.081281
1.7433,Cl* NGC  104    MAM M57553,Star,00 24 05.736,-72 04 53.31,,,,,,,,,,,,,,,,1,6.0239,-72.081475
1.8734,CXOGlb J002404.9-720454,X,00 24 04.987,-72 04 53.95,40,23,0,,,,,,,,,,,,,1,6.020779,-72.081653
2.3029,Cl* NGC  104    DPF    1953,Star,00 24 05.833,-72 04 52.48,,,,,,16.5,,,,,,,,,,4,6.024304,-72.081244
2.5227,CXOGlb J002404.9-720451,X,00 24 05.007,-72 04 51.27,,,,,,14.16,12.96,,,,,,,,,17,6.020863,-72.080908
2.5684,[KDA2008] 8,UV,00 24 04.912,-72 04 51.67,,,,,,,,,,,,,,,,1,6.020467,-72.081019
2.701,Cl* NGC  104    AKO       6,Star,00 24 04.8,-72 04 54,,,,,,16.83,16.01,,,,,,,,,6,6.02,-72.081667
2.7797,Cl* NGC  104    EGG V7,EB*,00 24 04.9480,-72 04 51.168,,,,,,,18.857,,,,,,,,,8,6.020617,-72.08088
